DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
1;-6.6378436;0.785164118;-5.211796622569516
2;-5.881592;0.785164118;-4.618014835629395
3;-5.971848;0.785164118;-4.6888807764000955
4;-5.518613;0.785164118;-4.3330168000877665
5;-4.9311633;0.785164118;-3.8717724917989167
6;-5.0225863;0.785164118;-3.9435545781788757
7;-4.8576627;0.785164118;-3.81406243192879
8;-5.703008;0.785164118;-4.477797383589196
9;-5.8878407;0.785164118;-4.622921287696956
10;-5.3775496;0.785164118;-4.222259026596833
11;-4.67013;0.785164118;-3.666818326519344
12;-5.397922;0.785164118;-4.2382546968093076
13;-4.20595;0.785164118;-3.3023608519768177
14;-12.099657;0.785164118;-9.500216562609081
15;-21.823086;0.785164118;-17.134703902348853
16;-13.650339;0.785164118;-10.717756480727504
17;-22.652807;0.785164118;-17.786171413456362
18;-47.72999;0.785164118;-37.475874007230146
19;-24.120941;0.785164118;-18.9388974928775
20;-14.269038;0.785164118;-11.203536793308427
21;-11.157118;0.785164118;-8.760168591114185
22;-10.279706;0.785164118;-8.071256295795683
23;-8.765195;0.785164118;-6.8821165171688214
24;-7.5136967;0.785164118;-5.899485019237972
25;-6.602166;0.785164118;-5.18378398234464
26;-5.8812675;0.785164118;-4.617760246739204
27;-10.497513;0.785164118;-8.24227039245407
28;-16.701736;0.785164118;-13.113604168986052
29;-18.234138;0.785164118;-14.316791264024582
30;-12.787205;0.785164118;-10.040054333276755
31;-10.029076;0.785164118;-7.874470315541519
32;-9.298193;0.785164118;-7.300607488490787
33;-11.282208;0.785164118;-8.858385240995268
34;-8.973582;0.785164118;-7.045734806567186
35;-7.8982787;0.785164118;-6.201445039588517
36;-5.94641;0.785164118;-4.668907903569254
37;-6.178113;0.785164118;-4.850832631753995
38;-5.799118;0.785164118;-4.553259402618683
39;-5.818517;0.785164118;-4.568490931765161
40;-13.05014;0.785164118;-10.246501961913635
41;-30.205647;0.785164118;-23.716389804485402
42;-16.138811;0.785164118;-12.671615391890391
43;-10.800665;0.785164118;-8.48029453138306
44;-7.919378;0.785164118;-6.218011288431359
45;-6.335802;0.785164118;-4.974644450589428
46;-7.2676635;0.785164118;-5.706308585293106
47;-40.566963;0.785164118;-31.85172387756938
48;-30.380356;0.785164118;-23.853565293683257
49;-16.962717;0.785164118;-13.318516776373256
50;-11.726886;0.785164118;-9.207529942583712
51;-12.074458;0.785164118;-9.480431261887041
52;-25.62668;0.785164118;-20.121149893233866
53;-17.218254;0.785164118;-13.51915528556868
