DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
1;-307.74737548828125;16.96502685546875;-5220.942489858717
2;-296.0171203613281;16.847993850708008;-4987.2946235519485
3;-334.12158203125;17.041976928710938;-5694.092292360961
4;-329.5278015136719;16.996904373168945;-5600.952530628478
5;-319.359619140625;16.926300048828125;-5405.576737053692
6;-311.75872802734375;16.87202262878418;-5260.000313998316
7;-302.6090087890625;16.811267852783203;-5087.241101418156
8;-324.4317932128906;16.935131072998047;-5494.294942308101
9;-370.415771484375;17.15015983581543;-6352.6896866639145
10;-355.202392578125;17.073177337646484;-6064.433439242654
11;-355.5844421386719;17.06134605407715;-6066.7492187738535
12;-333.6531066894531;16.93517303466797;-5650.473095340421
13;-351.8926696777344;16.9993839263916;-5981.958592734707
14;-369.0637512207031;17.04062271118164;-6289.076140925405
15;-372.3133239746094;17.00638198852539;-6331.702606929815
16;-369.7150573730469;16.9322566986084;-6260.110256781161
17;-358.1701965332031;16.800830841064453;-6017.5568842651555
18;-404.2926940917969;16.88654899597168;-6827.108387494518
19;-386.7904968261719;16.706310272216797;-6461.842050322914
20;-385.3035583496094;16.574583053588867;-6386.245828708925
21;-388.7064208984375;16.46002197265625;-6398.11622890085
22;-424.14642333984375;16.46458625793457;-6983.39537307329
23;-404.7933349609375;16.293649673461914;-6595.5607900058385
24;-392.2469177246094;16.160524368286133;-6338.915872273676
25;-375.5290832519531;16.025997161865234;-6018.228022393654
26;-370.33087158203125;15.952287673950195;-5907.62459802127
27;-386.75518798828125;15.980611801147461;-6180.584521320532
28;-388.5682067871094;15.960155487060547;-6201.608997650561
29;-402.4836730957031;15.99237060546875;-6436.668062796816
30;-392.4417419433594;15.941908836364746;-6256.270473645214
31;-391.9471435546875;15.930652618408203;-6243.973788747098
32;-401.0706787109375;15.957844734191895;-6400.223618306103
33;-396.990234375;15.938520431518555;-6327.436961699277
34;-378.8865051269531;15.865660667419434;-6011.284721808712
35;-383.5769348144531;15.883999824523926;-6092.735965284199
36;-385.91644287109375;15.893214225769043;-6133.452699797053
37;-378.2616271972656;15.862873077392578;-6000.316182278213
38;-389.3557434082031;15.906586647033691;-6193.3208690428
39;-386.9621887207031;15.897516250610352;-6151.737683559128
40;-402.3374328613281;15.95490550994873;-6419.2557244178315
41;-362.374267578125;15.796204566955566;-5724.138060464757
42;-349.7612609863281;15.738912582397461;-5504.861911372922
43;-354.5671691894531;15.76179027557373;-5588.613359368028
44;-332.25079345703125;15.65275764465332;-5200.641147226677
45;-324.1844482421875;15.610297203063965;-5060.615585671854
46;-324.0276184082031;15.610528945922852;-5058.242516439699
47;-373.5677795410156;15.848196983337402;-5920.375756793976
48;-400.54974365234375;15.953317642211914;-6390.097291992395
49;-421.2290954589844;16.025142669677734;-6750.256351349526
50;-430.7377014160156;16.056324005126953;-6916.064095159178
51;-432.61572265625;16.06292724609375;-6949.074878543615
52;-425.24176025390625;16.040557861328125;-6821.115060405806
53;-421.4409484863281;16.028873443603516;-6755.223627239582
54;-415.2186279296875;16.008798599243164;-6647.15138918045
55;-399.8952941894531;15.956082344055176;-6380.762243087083
56;-400.1045227050781;15.957023620605469;-6384.477319516009
57;-393.26116943359375;15.932221412658691;-6265.5240244171
58;-421.6567077636719;16.03061866760254;-6759.417890796147
59;-409.70465087890625;15.9910249710083;-6551.597302942828
60;-415.2635803222656;16.00986099243164;-6648.312196178944
61;-411.1239929199219;15.99594497680664;-6576.316769392113
62;-414.7875061035156;16.008316040039062;-6640.04948716471
63;-418.1300048828125;16.019550323486328;-6698.254654979799
64;-417.8095397949219;16.018722534179688;-6692.77509010816
65;-408.482177734375;15.987699508666992;-6530.69031226309
66;-408.3099670410156;15.987618446350098;-6527.903960893542
67;-406.00897216796875;15.980337142944336;-6488.160258304444
68;-416.56695556640625;16.017133712768555;-6672.208627628046
69;-422.70166015625;16.038448333740234;-6779.478737002239
70;-433.2086181640625;16.07328987121582;-6963.087694459828
71;-422.8471984863281;16.043317794799805;-6783.871983956953
72;-426.1612548828125;16.057313919067383;-6843.005049797008
73;-435.2292785644531;16.089994430541992;-7002.83666811086
74;-418.2790832519531;16.04248046875;-6710.234023556113
75;-424.59454345703125;16.070863723754883;-6823.60104574787
76;-421.2279968261719;16.070125579833984;-6769.186806738493
77;-400.5409851074219;16.011993408203125;-6413.459613255225
