DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
1;-6.637843608856201;1.2767456769943237;-8.474838132171556
2;-5.881591796875;1.2738913297653198;-7.492508795257891
3;-5.971848011016846;1.2709029912948608;-7.589639500759574
4;-5.518612861633301;1.2677780389785767;-6.996376191603417
5;-4.931163311004639;1.2646567821502686;-6.23622912515259
6;-5.022586345672607;1.2624242305755615;-6.340634702935063
7;-4.857662677764893;1.260109543800354;-6.121187100814325
8;-5.70300817489624;1.2577130794525146;-7.1727479737916155
9;-5.887840747833252;1.2552359104156494;-7.39062914148883
10;-5.377549648284912;1.2526791095733643;-6.736344105100102
11;-4.670129776000977;1.2500444650650024;-5.83786987762528
12;-5.397922039031982;1.2473337650299072;-6.7330104202836765
13;-4.205949783325195;1.2445495128631592;-5.234512753964282
14;-12.09965705871582;1.2416945695877075;-15.024078463681008
15;-21.82308578491211;1.238771915435791;-27.033825778495157
16;-13.650339126586914;1.2357852458953857;-16.868887694104615
17;-22.652807235717773;1.2327384948730469;-27.924987496407994
18;-47.72998809814453;1.2296360731124878;-58.69051513470822
19;-24.120941162109375;1.2264823913574219;-29.583909598295577
20;-14.269038200378418;1.2232824563980103;-17.455064100195955
21;-11.15711784362793;1.2200416326522827;-13.612148269633735
22;-10.279706001281738;1.2167654037475586;-12.507990623055775
23;-8.7651948928833;1.209890365600586;-10.604924853510965
24;-7.513696670532227;1.2006592750549316;-9.021389597423877
25;-6.602166175842285;1.1907074451446533;-7.861248419657613
26;-5.881267547607422;1.1800494194030762;-6.940186354908292
27;-10.497512817382812;1.168718934059143;-12.268641990203832
28;-16.701736450195312;1.1567684412002563;-19.320041638829935
29;-18.23413848876953;1.1442698240280151;-20.86477443984677
30;-12.78720474243164;1.131312608718872;-14.466325955382672
31;-10.029075622558594;1.118001937866211;-11.212525981027284
32;-9.298192977905273;1.1044552326202393;-10.269437888360244
33;-11.282208442687988;1.0904145240783691;-12.302283949586581
34;-8.97358226776123;1.0762044191360474;-9.65740889204551
35;-7.898278713226318;1.0619752407073975;-8.387776437652633
36;-5.946410179138184;1.0478696823120117;-6.231062945310441
37;-6.178112983703613;1.034030795097351;-6.388359080740315
38;-5.7991180419921875;1.020594835281372;-5.9185499228442495
39;-5.818517208099365;1.0076849460601807;-5.863232198993842
40;-13.050140380859375;0.9954068660736084;-12.990199338331877
41;-30.205646514892578;0.983845591545105;-29.717692163446827
42;-16.138811111450195;0.9730639457702637;-15.704095220148702
43;-10.800664901733398;0.9631024599075317;-10.402146935496376
44;-7.91937780380249;0.9539811015129089;-7.554936760568381
45;-6.33580207824707;0.9457020163536072;-5.991780800615629
46;-7.267663478851318;0.9382529258728027;-6.818906523291162
47;-40.56696319580078;0.9316111207008362;-37.79263404626954
48;-30.380355834960938;0.9257475137710571;-28.124538881695116
49;-16.962717056274414;0.9206303954124451;-15.61639291078734
50;-11.726885795593262;0.9162294268608093;-10.74451785135858
51;-12.074458122253418;0.9125199317932129;-11.018183702158694
52;-25.626680374145508;0.9094810485839844;-23.30698013840447
53;-17.21825408935547;0.907103955745697;-15.61874639548887
54;-14.03961181640625;0.905392587184906;-12.711360465527832
55;-10.396241188049316;0.9043662548065186;-9.402009707301431
56;-8.432296752929688;0.9040623903274536;-7.623322358404039
57;-6.435893535614014;0.9045392870903015;-5.82151855049338
58;-4.907886028289795;0.9058791995048523;-4.445951866568208
59;-4.903746604919434;0.9081911444664001;-4.453539241295005
60;-4.827764511108398;0.9116132259368896;-4.401053980035158
61;-5.020687103271484;0.91631680727005;-4.600539976771643
62;-5.924105644226074;0.9225046634674072;-5.465015083672142
63;-6.475436687469482;0.9304090142250061;-6.02480466506492
64;-7.0557637214660645;0.9402853846549988;-6.634431504873504
65;-5.863425254821777;0.9523985981941223;-5.584317993308275
66;-4.952023506164551;0.9670008420944214;-4.78861090053249
67;-4.634955883026123;0.9842992424964905;-4.562183564667265
68;-7.992545127868652;1.0044128894805908;-8.027815346186571
69;-14.650070190429688;1.0273237228393555;-15.050364647890092
70;-18.37199592590332;1.0528275966644287;-19.34254431659747
71;-26.741737365722656;1.0804991722106934;-28.894425087139098
72;-16.151123046875;1.096427083015442;-17.708528729708632
73;-11.156869888305664;1.0952539443969727;-12.21960575229059
74;-8.193052291870117;1.09410560131073;-8.964064404366809
75;-8.703157424926758;1.0929803848266602;-9.512380351503452
76;-9.908455848693848;1.0918763875961304;-10.818808978727589
77;-9.227299690246582;1.090792179107666;-10.06506633640356
78;-10.097578048706055;1.0897258520126343;-11.003591842390279
79;-9.263408660888672;1.0886591672897339;-10.08469475902757
80;-8.150835990905762;1.0874958038330078;-8.863999937841072
81;-6.842461109161377;1.0863572359085083;-7.433357137360019
82;-6.0333638191223145;1.085241436958313;-6.547656420756596
83;-5.740340709686279;1.0841466188430786;-6.223370971413658
84;-5.263945579528809;1.0830707550048828;-5.701225513124882
85;-5.198439121246338;1.0820119380950928;-5.624773188649101
86;-5.756863594055176;1.0809684991836548;-6.222988199270844
87;-7.499716281890869;1.0799387693405151;-8.09923437186825
88;-7.720401763916016;1.0789209604263306;-8.329703286001404
89;-6.584289073944092;1.0779136419296265;-7.097295015212524
90;-5.853475570678711;1.0769153833389282;-6.303697888062516
91;-4.796278953552246;1.0759246349334717;-5.160434682139794
92;-5.099088668823242;1.0749402046203613;-5.481215417042222
93;-5.4002509117126465;1.073960542678833;-5.7996563997447765
94;-5.2209696769714355;1.0729845762252808;-5.602019936330237
95;-4.564865589141846;1.0720109939575195;-4.893586097498428
96;-4.5826520919799805;1.0710387229919434;-4.908197844510596
97;-4.894157409667969;1.0700664520263672;-5.237073655021959
98;-6.959965705871582;1.0690934658050537;-7.440853858374567
99;-8.760343551635742;1.0681183338165283;-9.357083558033537
100;-8.410479545593262;1.0671403408050537;-8.975162008618327
101;-7.603029727935791;1.066158413887024;-8.106034115471914
102;-6.837470054626465;1.0651715993881226;-7.283078913854865
