DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
1;-307.74737548828125;0.8380780816078186;-257.91633006905977
2;-296.0171203613281;0.8392373919487;-248.42863606420542
3;-334.12158203125;0.8399893641471863;-280.6585752382816
4;-329.5278015136719;0.8404425978660583;-276.9492015732412
5;-319.359619140625;0.8406791090965271;-268.47896010054683
6;-311.75872802734375;0.8407595157623291;-262.1141172109492
7;-302.6090087890625;0.8448772430419922;-255.6674650653731
8;-324.4317932128906;0.8511719703674316;-276.14724867885525
9;-370.415771484375;0.8597561120986938;-318.4672235514445
10;-355.202392578125;0.8714553713798523;-309.543032939182
11;-355.5844421386719;0.8873658776283264;-315.5335005693614
12;-333.6531066894531;0.908911406993866;-303.2611146489853
13;-351.8926696777344;0.9378809928894043;-330.0334464278567
14;-369.0637512207031;0.9764111042022705;-360.3579448504388
15;-372.3133239746094;1.026854157447815;-382.31148459654287
16;-369.7150573730469;1.0914583206176758;-403.5285756274534
17;-358.1701965332031;1.171801209449768;-419.70426948646855
18;-404.2926940917969;1.2680102586746216;-512.647283615599
19;-386.7904968261719;1.377988338470459;-532.9927940576599
20;-385.3035583496094;1.4970626831054688;-576.8235788729507
21;-388.7064208984375;1.6179238557815552;-628.8973912670481
22;-424.14642333984375;1.7324923276901245;-734.8304242534869
23;-404.7933349609375;1.8348866701126099;-742.7498944702529
24;-392.2469177246094;1.9216967821121216;-753.7796395847799
25;-375.5290832519531;1.9920611381530762;-748.076892992467
26;-370.33087158203125;2.047046184539795;-758.0843976892938
27;-386.75518798828125;2.088796615600586;-807.8529277358903
28;-388.5682067871094;2.119811534881592;-823.6913668355701
29;-402.4836730957031;2.1424782276153564;-862.3125065782006
30;-392.4417419433594;2.158846855163574;-847.2216204293363
31;-391.9471435546875;2.170565128326416;-850.7468019469525
32;-401.0706787109375;2.1789023876190186;-873.893859447242
33;-396.990234375;2.1848082542419434;-867.3475409159437
34;-378.8865051269531;2.188978433609009;-829.3743885083895
35;-383.5769348144531;2.1871094703674316;-838.9247467472014
36;-385.91644287109375;2.183084011077881;-842.4880160439352
37;-378.2616271972656;2.177393674850464;-823.6244744979704
38;-389.3557434082031;2.169382333755493;-844.6614712959927
39;-386.9621887207031;2.15816593170166;-835.1286125537299
40;-402.3374328613281;2.1425833702087402;-862.0414928611572
41;-362.374267578125;2.121168375015259;-768.656836306036
42;-349.7612609863281;2.0921690464019775;-731.7596838661193
43;-354.5671691894531;2.053677558898926;-728.1666384866985
44;-332.25079345703125;2.0039210319519043;-665.8043528912531
45;-324.1844482421875;1.9417591094970703;-629.4881055315491
46;-324.0276184082031;1.867326259613037;-605.0652806935104
47;-373.5677795410156;1.7826006412506104;-665.9221633603811
48;-400.54974365234375;1.6915441751480103;-677.5475857321508
49;-421.2290954589844;1.6001801490783691;-674.0424367677042
50;-430.7377014160156;1.5153268575668335;-652.708407522292
51;-432.61572265625;1.4406489133834839;-623.2473707573372
52;-425.24176025390625;1.3777871131896973;-585.8926172679348
53;-421.4409484863281;1.3267079591751099;-559.129060679119
54;-415.2186279296875;1.2862942218780518;-534.0933219220897
55;-399.8952941894531;1.2549242973327637;-501.8383210673783
56;-400.1045227050781;1.230887770652771;-492.4837639805446
57;-393.26116943359375;1.2126184701919556;-476.8757576644639
58;-421.6567077636719;1.198792815208435;-505.4790317515326
59;-409.70465087890625;1.188346028327942;-486.87089465943427
60;-415.2635803222656;1.1804472208023071;-490.1967392918341
61;-411.1239929199219;1.1744613647460938;-482.84924580459483
62;-414.7875061035156;1.169908881187439;-485.263587196092
63;-418.1300048828125;1.169372320175171;-488.94965394467
64;-417.8095397949219;1.169082522392273;-488.453830663002
65;-408.482177734375;1.1684527397155762;-477.2921196987154
66;-408.3099670410156;1.1673579216003418;-476.64387449370406
67;-406.00897216796875;1.1656330823898315;-473.25748970607674
68;-416.56695556640625;1.1630637645721436;-484.4939315374213
69;-422.70166015625;1.1593738794326782;-490.0692635779851
70;-433.2086181640625;1.154213547706604;-500.01525606821815
71;-422.8471984863281;1.1471476554870605;-485.06817237286305
72;-426.1612548828125;1.1376471519470215;-484.82113788760034
73;-435.2292785644531;1.125088095664978;-489.6712801977228
74;-418.2790832519531;1.108763575553894;-463.77261192584047
75;-424.59454345703125;1.0879155397415161;-461.92300191635877
76;-421.2279968261719;1.0617952346801758;-447.2578797439055
77;-400.5409851074219;1.0297566652297974;-412.4597491120767
78;-401.3086853027344;0.9913803935050964;-397.8495623524377
79;-400.5498352050781;0.9466142058372498;-379.1661641508963
80;-396.0209655761719;0.8958989381790161;-354.7947625563211
81;-382.45220947265625;0.8402373194694519;-321.350619312474
82;-366.78265380859375;0.7811660766601562;-286.5181666626595
83;-365.0533142089844;0.7206130623817444;-263.0621866847414
84;-354.08843994140625;0.6587056517601013;-233.2400566123215
85;-354.422119140625;0.5941683650016785;-210.58641105021525
86;-365.02423095703125;0.5310017466545105;-193.82850420940304
87;-365.4515380859375;0.47108834981918335;-172.15996201578673
88;-368.79779052734375;0.4159722328186035;-153.4096403842268
89;-356.87017822265625;0.3667025864124298;-130.86521736771283
90;-354.2413635253906;0.32378217577934265;-114.69703943329205
91;-348.6133117675781;0.2872143089771271;-100.12673143955271
92;-352.85772705078125;0.25661495327949524;-90.54856914144511
93;-357.6871643066406;0.23134997487068176;-82.75091647390673
94;-364.9980773925781;0.21066324412822723;-76.89167908408626
95;-346.7226257324219;0.19377778470516205;-67.18714232158572
96;-340.94140625;0.17996366322040558;-61.35706441226648
97;-333.43243408203125;0.16857628524303436;-56.20880111709175
98;-338.01470947265625;0.15907202661037445;-53.768684859932364
99;-338.8701477050781;0.1510087102651596;-51.17234395230798
100;-341.7298278808594;0.14403735101222992;-49.221859169824256
101;-346.9959411621094;0.13788966834545135;-47.847155244061014
102;-350.8670349121094;0.13236437737941742;-46.44229661910367
103;-359.55987548828125;0.12731419503688812;-45.77707611535425
104;-367.953125;0.12263399362564087;-45.12356118578464
105;-343.6070251464844;0.1182510182261467;-40.63188059322897
106;-346.3210754394531;0.13062551617622375;-45.23836924198349
107;-313.9976501464844;0.14920249581336975;-46.849233081388775
108;-344.7717590332031;0.1744568943977356;-60.14781035697706
109;-343.1655578613281;0.20883497595787048;-71.66497102553967
110;-348.0472106933594;0.2554844617843628;-88.92065429954164
111;-347.0149230957031;0.318144291639328;-110.40081689655835
112;-352.303466796875;0.4006006717681885;-141.1330054650898
113;-355.85272216796875;0.5053899884223938;-179.84440313654704
114;-367.0426940917969;0.6316426396369934;-231.83981615561606
115;-374.7556457519531;0.7728040218353271;-289.6126702426045
116;-383.0923767089844;0.9151314496994019;-350.57988206648224
117;-383.5220031738281;1.0459988117218018;-401.1635595889893
118;-400.6443786621094;1.1513628959655762;-461.28707206873514
119;-422.6628112792969;1.22428560256958;-517.4599945908267
120;-417.5400390625;1.2664209604263306;-528.7814572859788
121;-421.9700622558594;1.2848050594329834;-542.1492709155791
122;-417.263427734375;1.2876332998275757;-537.2822843509784
123;-416.4425048828125;1.2816380262374878;-533.7285499994032
124;-417.5820007324219;1.2713537216186523;-530.8944307121274
125;-410.6145935058594;1.259454607963562;-517.1504418880395
126;-396.34375;1.2965723276138306;-513.8883384726942
127;-387.922119140625;1.3826870918273926;-536.3749067700701
128;-379.994384765625;1.5642036199569702;-594.3885922137124
129;-377.14849853515625;1.8541388511657715;-699.2856837928703
130;-375.24310302734375;2.060854434967041;-773.3214130646957
131;-392.2084655761719;2.1585776805877686;-846.6124399303008
132;-388.99249267578125;2.2009902000427246;-856.1686642695859
133;-383.5474548339844;2.1922073364257812;-840.8155443544965
134;-379.6493835449219;2.177910566329956;-826.8424039231395
135;-370.9443664550781;2.155315399169922;-799.5021052559605
136;-362.2393798828125;2.1178627014160156;-767.1732716378756
137;-353.5343933105469;2.059438467025757;-728.0823290003536
138;-344.82940673828125;1.9809534549713135;-683.0910046539066
139;-336.1244201660156;1.8947714567184448;-636.878957236604
140;-327.41943359375;1.815565824508667;-594.4515339127975
141;-326.10833740234375;1.7453340291976929;-569.1679784733933
142;-321.8235778808594;1.6952311992645264;-545.5653698825699
143;-323.2324523925781;1.6654824018478394;-538.3379611659584
144;-349.2845458984375;1.6501026153564453;-576.3553426906001
145;-399.0047607421875;1.64287269115448;-655.514025063967
146;-438.43951416015625;1.6399638652801514;-719.0249603336415
147;-491.5650939941406;1.643010139465332;-807.646433639602
148;-530.6901245117188;1.650002121925354;-875.6398315291663
149;-560.8187866210938;1.664530873298645;-933.5001846566956
150;-576.194580078125;1.6888763904571533;-973.1214226033189
151;-580.3576049804688;1.7137134075164795;-994.5666088091821
152;-580.910400390625;1.7288333177566528;-1004.2972548266698
153;-581.5571899414062;1.7363865375518799;-1009.8080754307593
154;-602.7135620117188;1.7400403022766113;-1048.7458886290842
155;-623.6104736328125;1.741837978363037;-1086.2284066785942
156;-629.2811889648438;1.746643304824829;-1099.1297755576525
157;-632.8153076171875;1.7580606937408447;-1112.5277187192987
158;-640.13525390625;1.7812790870666504;-1140.2595406773034
159;-703.0925903320312;1.8208613395690918;-1280.234115873085
160;-754.59033203125;1.8752131462097168;-1415.0177106277552
161;-767.7415161132812;1.9340851306915283;-1484.8774505292677
162;-726.8927612304688;1.9889519214630127;-1445.7547541468957
