DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
1;-6.637843608856201;3.2929420471191406;-21.858034321803643
2;-5.881591796875;3.3116214275360107;-19.477605422551278
3;-5.971848011016846;3.32659912109375;-19.865944344754098
4;-5.518612861633301;3.337242603302002;-18.416949952973027
5;-4.931163311004639;3.342719554901123;-16.483496028106174
6;-5.022586345672607;3.3416848182678223;-16.783900539773413
7;-4.857662677764893;3.3335444927215576;-16.193234666962212
8;-5.70300817489624;3.3169267177581787;-18.916460186906647
9;-5.887840747833252;3.290128469467163;-19.371752468135014
10;-5.377549648284912;3.2510287761688232;-17.482568651850784
11;-4.670129776000977;3.196991443634033;-14.930364934535646
12;-5.397922039031982;3.1247613430023193;-16.867218120107395
13;-4.205949783325195;3.030374526977539;-12.745603085135372
14;-12.09965705871582;2.9090893268585205;-35.19898320815855
15;-21.82308578491211;2.7553679943084717;-60.130632108795
16;-13.650339126586914;2.562924861907959;-34.984793521004576
17;-22.652807235717773;2.324855089187622;-52.664494186344655
18;-47.72998809814453;2.033848762512207;-97.07557722813362
19;-24.120941162109375;1.6824817657470703;-40.58304367790697
20;-14.269038200378418;1.2635648250579834;-18.029854757406838
21;-11.15711784362793;0.7705276608467102;-8.59686791384172
22;-10.279706001281738;0.197812020778656;-2.033449417124018
23;-8.7651948928833;0.0;-0.0
24;-7.513696670532227;0.0;-0.0
25;-6.602166175842285;0.0;-0.0
26;-5.881267547607422;0.0;-0.0
27;-10.497512817382812;0.0;-0.0
28;-16.701736450195312;0.0;-0.0
29;-18.23413848876953;0.0;-0.0
30;-12.78720474243164;0.0;-0.0
31;-10.029075622558594;0.0;-0.0
32;-9.298192977905273;0.0;-0.0
33;-11.282208442687988;0.0;-0.0
34;-8.97358226776123;0.0;-0.0
35;-7.898278713226318;0.0;-0.0
36;-5.946410179138184;0.0;-0.0
37;-6.178112983703613;0.0;-0.0
38;-5.7991180419921875;0.0;-0.0
39;-5.818517208099365;0.0;-0.0
40;-13.050140380859375;0.0;-0.0
41;-30.205646514892578;0.0;-0.0
42;-16.138811111450195;0.0;-0.0
43;-10.800664901733398;0.0;-0.0
44;-7.91937780380249;0.0;-0.0
45;-6.33580207824707;0.0;-0.0
46;-7.267663478851318;0.0;-0.0
47;-40.56696319580078;0.0;-0.0
48;-30.380355834960938;0.0;-0.0
49;-16.962717056274414;0.0;-0.0
50;-11.726885795593262;0.0;-0.0
51;-12.074458122253418;0.0;-0.0
52;-25.626680374145508;0.0;-0.0
53;-17.21825408935547;0.0;-0.0
54;-14.03961181640625;0.0;-0.0
55;-10.396241188049316;0.0;-0.0
56;-8.432296752929688;0.0;-0.0
57;-6.435893535614014;0.0;-0.0
58;-4.907886028289795;0.0;-0.0
59;-4.903746604919434;0.0;-0.0
60;-4.827764511108398;0.0;-0.0
61;-5.020687103271484;0.0;-0.0
62;-5.924105644226074;0.0;-0.0
63;-6.475436687469482;0.0;-0.0
64;-7.0557637214660645;0.0;-0.0
65;-5.863425254821777;0.0;-0.0
66;-4.952023506164551;0.0;-0.0
67;-4.634955883026123;0.0;-0.0
68;-7.992545127868652;0.0;-0.0
69;-14.650070190429688;0.0;-0.0
70;-18.37199592590332;0.0;-0.0
71;-26.741737365722656;0.0;-0.0
72;-16.151123046875;1.1123321056365967;-17.965412707126234
73;-11.156869888305664;3.5867061614990234;-40.01641397142885
74;-8.193052291870117;5.849161148071289;-47.92248314972312
75;-8.703157424926758;7.859835624694824;-68.4053867757666
76;-9.908455848693848;9.599588394165039;-95.11709776921816
77;-9.227299690246582;11.06812572479248;-102.12891307198788
78;-10.097578048706055;12.27995491027832;-123.9978031411265
79;-9.263408660888672;13.259486198425293;-122.82803928942667
80;-8.150835990905762;14.036362648010254;-114.40808985280728
81;-6.842461109161377;14.641741752624512;-100.18554851271756
82;-6.0333638191223145;15.105600357055664;-91.13758266038076
83;-5.740340709686279;15.455126762390137;-88.71769332751
84;-5.263945579528809;15.713939666748047;-82.71732324576078
85;-5.198439121246338;15.901897430419922;-82.66504570434154
86;-5.756863594055176;16.03527069091797;-92.31286606136564
87;-7.499716281890869;16.12711524963379;-120.94878881760906
88;-7.720401763916016;16.187728881835938;-124.9757706131204
89;-6.584289073944092;16.225112915039062;-106.83083369000087
90;-5.853475570678711;16.245407104492188;-95.09209362187539
91;-4.796278953552246;16.253271102905273;-77.95522211724347
92;-5.099088668823242;16.273630142211914;-82.98068305877314
93;-5.4002509117126465;16.323528289794922;-88.1511485293322
94;-5.2209696769714355;16.37590217590332;-85.49808869344179
95;-4.564865589141846;16.43076515197754;-75.00423444553326
96;-4.5826520919799805;16.48798942565918;-75.55871923404084
97;-4.894157409667969;16.547250747680664;-80.98484985639516
98;-6.959965705871582;16.60793113708496;-115.59063115958816
99;-8.760343551635742;16.66895866394043;-146.02580454413328
100;-8.410479545593262;16.728578567504883;-140.69536786884964
101;-7.603029727935791;16.783987045288086;-127.60915245861452
102;-6.837470054626465;16.83085060119629;-115.08043697957146
103;-7.888803958892822;16.862735748291016;-133.02681652888168
104;-9.122941970825195;16.870559692382812;-153.90913708895096
105;-6.793350696563721;16.842388153076172;-114.41624929149657
106;-5.912258625030518;16.76401710510254;-99.11320471980162
107;-8.591696739196777;16.620899200439453;-142.80172546293397
108;-7.7895731925964355;16.401681900024414;-127.76210164192435
109;-6.548810958862305;16.10283088684082;-105.45439538044957
110;-5.970820426940918;15.74219799041748;-93.99383732613296
111;-6.270179271697998;15.345376968383789;-96.2182645835519
112;-7.46498441696167;14.942449569702148;-111.54515318906215
113;-7.9763593673706055;14.5613374710083;-116.14646053832166
114;-7.598674774169922;14.222126007080078;-108.06931012506539
115;-6.846529960632324;13.935209274291992;-95.40782780412155
116;-5.8230085372924805;13.702398300170898;-79.78918228327711
117;-5.192684650421143;13.51957893371582;-70.20291000926318
118;-8.467475891113281;13.379512786865234;-113.29070195762324
119;-13.109711647033691;13.274016380310059;-174.01852714386678
120;-9.410175323486328;13.195310592651367;-124.17018612470565
