DayOfYear;flux_m3/s;S_PSU;dis_PSU*m3/s
1;-307.74738;0.3;-92.32421264648437
2;-296.01712;0.3;-88.80513610839843
3;-334.12158;0.3;-100.236474609375
4;-329.5278;0.3;-98.85834045410157
5;-319.35962;0.3;-95.8078857421875
6;-311.75873;0.3;-93.52761840820312
7;-302.609;0.3;-90.78270263671875
8;-324.4318;0.3;-97.32953796386718
9;-370.41577;0.3;-111.12473144531249
10;-355.2024;0.3;-106.5607177734375
11;-355.58444;0.3;-106.67533264160156
12;-333.6531;0.3;-100.09593200683594
13;-351.89267;0.3;-105.5678009033203
14;-369.06375;0.3;-110.71912536621093
15;-372.31332;0.3;-111.69399719238281
16;-369.71506;0.3;-110.91451721191406
17;-358.1702;0.3;-107.45105895996093
18;-404.2927;0.3;-121.28780822753906
19;-386.7905;0.3;-116.03714904785156
20;-385.30356;0.3;-115.5910675048828
21;-388.70642;0.3;-116.61192626953124
22;-424.14642;0.3;-127.24392700195312
23;-404.79333;0.3;-121.43800048828125
24;-392.24692;0.3;-117.6740753173828
25;-375.52908;0.3;-112.65872497558594
26;-370.33087;0.3;-111.09926147460938
27;-386.7552;0.3;-116.02655639648437
28;-388.5682;0.3;-116.57046203613281
29;-402.48367;0.3;-120.74510192871094
30;-392.44174;0.3;-117.7325225830078
31;-391.94714;0.3;-117.58414306640624
32;-401.07068;0.3;-120.32120361328124
33;-396.99023;0.3;-119.0970703125
34;-378.8865;0.3;-113.66595153808593
35;-383.57693;0.3;-115.07308044433593
36;-385.91644;0.3;-115.77493286132812
37;-378.26163;0.3;-113.47848815917969
38;-389.35574;0.3;-116.80672302246093
39;-386.9622;0.3;-116.08865661621093
40;-402.33743;0.3;-120.70122985839843
41;-362.37427;0.3;-108.7122802734375
42;-349.76126;0.3;-104.92837829589844
43;-354.56717;0.3;-106.37015075683594
44;-332.2508;0.3;-99.67523803710937
45;-324.18445;0.3;-97.25533447265624
46;-324.02762;0.3;-97.20828552246094
47;-373.56778;0.3;-112.07033386230468
48;-400.54974;0.3;-120.16492309570312
49;-421.2291;0.3;-126.36872863769531
50;-430.7377;0.3;-129.22131042480467
51;-432.61572;0.3;-129.784716796875
52;-425.24176;0.3;-127.57252807617186
53;-421.44095;0.3;-126.43228454589843
54;-415.21863;0.3;-124.56558837890624
55;-399.8953;0.3;-119.96858825683593
56;-400.10452;0.3;-120.03135681152344
57;-393.26117;0.3;-117.97835083007811
58;-421.6567;0.3;-126.49701232910155
59;-409.70465;0.3;-122.91139526367186
60;-415.26358;0.3;-124.57907409667968
61;-411.124;0.3;-123.33719787597656
62;-414.7875;0.3;-124.43625183105468
63;-418.13;0.3;-125.43900146484374
64;-417.80954;0.3;-125.34286193847656
65;-408.48218;0.3;-122.54465332031249
66;-408.30997;0.3;-122.49299011230468
67;-406.00897;0.3;-121.80269165039061
68;-416.56696;0.3;-124.97008666992187
69;-422.70166;0.3;-126.810498046875
70;-433.20862;0.3;-129.96258544921875
71;-422.8472;0.3;-126.85415954589843
72;-426.16125;0.3;-127.84837646484374
73;-435.22928;0.3;-130.56878356933592
74;-418.27908;0.3;-125.48372497558593
75;-424.59454;0.3;-127.37836303710937
76;-421.228;0.3;-126.36839904785155
77;-400.541;0.3;-120.16229553222655
78;-401.3087;0.3;-120.39260559082031
79;-400.54984;0.3;-120.16495056152343
80;-396.02097;0.3;-118.80628967285156
81;-382.4522;0.3;-114.73566284179687
82;-366.78265;0.3;-110.03479614257812
83;-365.0533;0.3;-109.51599426269532
84;-354.08844;0.3;-106.22653198242188
85;-354.42212;0.3;-106.32663574218749
86;-365.02423;0.3;-109.50726928710937
87;-365.45154;0.3;-109.63546142578124
88;-368.7978;0.3;-110.63933715820312
89;-356.87018;0.3;-107.06105346679688
90;-354.24136;0.3;-106.27240905761718
91;-348.6133;0.3;-104.58399353027343
92;-352.85773;0.3;-105.85731811523438
93;-357.68716;0.3;-107.30614929199218
94;-364.99808;0.3;-109.49942321777344
95;-346.72263;0.3;-104.01678771972657
96;-340.9414;0.3;-102.282421875
97;-333.43243;0.3;-100.02973022460937
98;-338.0147;0.3;-101.40441284179687
99;-338.87015;0.3;-101.66104431152344
100;-341.72983;0.3;-102.51894836425781
101;-346.99594;0.3;-104.09878234863281
102;-350.86703;0.3;-105.2601104736328
103;-359.55988;0.3;-107.86796264648437
104;-367.95312;0.3;-110.3859375
105;-343.60703;0.3;-103.08210754394531
106;-346.32108;0.3;-103.89632263183593
107;-313.99765;0.3;-94.19929504394531
108;-344.77176;0.3;-103.43152770996093
109;-343.16556;0.3;-102.94966735839843
110;-348.0472;0.3;-104.4141632080078
111;-347.01492;0.3;-104.10447692871094
112;-352.30347;0.3;-105.6910400390625
113;-355.85272;0.3;-106.75581665039063
114;-367.0427;0.3;-110.11280822753906
115;-374.75565;0.3;-112.42669372558593
116;-383.09238;0.3;-114.9277130126953
117;-383.522;0.3;-115.05660095214843
118;-400.64438;0.3;-120.19331359863281
119;-422.6628;0.3;-126.79884338378906
120;-417.54004;0.3;-125.26201171874999
121;-421.97006;0.3;-126.59101867675781
122;-417.26343;0.3;-125.1790283203125
123;-416.4425;0.3;-124.93275146484375
124;-417.582;0.3;-125.27460021972655
125;-410.6146;0.3;-123.1843780517578
126;-396.34375;0.3;-118.90312499999999
127;-387.92212;0.3;-116.37663574218749
128;-379.9944;0.3;-113.9983154296875
129;-377.1485;0.3;-113.14454956054688
130;-375.2431;0.3;-112.57293090820312
131;-392.20847;0.3;-117.66253967285155
132;-388.9925;0.3;-116.69774780273437
133;-383.54745;0.3;-115.06423645019531
134;-379.64938;0.3;-113.89481506347656
135;-370.94437;0.3;-111.28330993652344
136;-362.23938;0.3;-108.67181396484375
137;-353.5344;0.3;-106.06031799316406
138;-344.8294;0.3;-103.44882202148438
139;-336.12442;0.3;-100.83732604980469
140;-327.41943;0.3;-98.225830078125
141;-326.10834;0.3;-97.83250122070312
142;-321.82358;0.3;-96.54707336425781
143;-323.23245;0.3;-96.96973571777343
144;-349.28455;0.3;-104.78536376953124
145;-399.00476;0.3;-119.70142822265625
146;-438.4395;0.3;-131.53185424804687
147;-491.5651;0.3;-147.4695281982422
148;-530.6901;0.3;-159.20703735351563
149;-560.8188;0.3;-168.24563598632812
150;-576.1946;0.3;-172.8583740234375
151;-580.3576;0.3;-174.1072814941406
152;-580.9104;0.3;-174.2731201171875
153;-581.5572;0.3;-174.46715698242187
154;-602.71356;0.3;-180.8140686035156
155;-623.6105;0.3;-187.08314208984373
156;-629.2812;0.3;-188.78435668945312
157;-632.8153;0.3;-189.84459228515624
158;-640.13525;0.3;-192.040576171875
159;-703.0926;0.3;-210.92777709960936
160;-754.59033;0.3;-226.377099609375
161;-767.7415;0.3;-230.32245483398438
162;-726.89276;0.3;-218.0678283691406
163;-684.732;0.3;-205.41959838867186
164;-638.4437;0.3;-191.53311767578126
165;-594.06213;0.3;-178.21864013671873
166;-557.97577;0.3;-167.39273071289062
167;-562.1566;0.3;-168.64698486328123
168;-528.3475;0.3;-158.50424194335938
169;-477.95694;0.3;-143.38708190917967
170;-475.11023;0.3;-142.53306884765624
171;-499.44495;0.3;-149.83348388671874
172;-472.50827;0.3;-141.75248107910156
173;-444.16312;0.3;-133.24893493652343
174;-533.5614;0.3;-160.06842041015625
175;-606.14215;0.3;-181.84264526367187
176;-607.8916;0.3;-182.36748046875
177;-590.15204;0.3;-177.0456115722656
178;-545.6957;0.3;-163.70870361328124
179;-513.693;0.3;-154.10789794921874
180;-503.07516;0.3;-150.92254943847655
181;-519.7449;0.3;-155.9234619140625
182;-570.7077;0.3;-171.21231079101562
183;-569.8663;0.3;-170.95988159179686
184;-560.2759;0.3;-168.082763671875
185;-546.92444;0.3;-164.07733154296875
186;-531.2773;0.3;-159.38318481445313
187;-495.13666;0.3;-148.5409973144531
188;-465.426;0.3;-139.62779846191407
189;-527.1081;0.3;-158.1324279785156
190;-525.1682;0.3;-157.5504638671875
191;-497.94604;0.3;-149.3838134765625
192;-452.69025;0.3;-135.80707397460938
193;-395.52164;0.3;-118.65649108886718
194;-377.12466;0.3;-113.13739929199218
195;-360.3148;0.3;-108.09443664550781
196;-323.87082;0.3;-97.16124572753905
197;-293.05685;0.3;-87.91705627441407
198;-269.31985;0.3;-80.79595642089843
199;-259.16614;0.3;-77.74984130859374
200;-288.40375;0.3;-86.52112426757812
201;-295.66476;0.3;-88.69942932128906
202;-285.50815;0.3;-85.6524444580078
203;-282.52686;0.3;-84.758056640625
204;-281.29965;0.3;-84.38989562988282
205;-276.8241;0.3;-83.04722900390625
206;-281.27814;0.3;-84.38344116210938
207;-301.0065;0.3;-90.30195007324218
208;-353.0911;0.3;-105.92732849121093
209;-395.8708;0.3;-118.76123657226562
210;-442.60394;0.3;-132.78118286132812
211;-579.8963;0.3;-173.96889038085936
212;-640.59143;0.3;-192.17742919921875
213;-649.79285;0.3;-194.93785400390624
214;-588.6535;0.3;-176.5960510253906
215;-535.15393;0.3;-160.54617919921876
216;-564.43054;0.3;-169.32916259765625
217;-572.7715;0.3;-171.8314453125
218;-569.0154;0.3;-170.7046142578125
219;-560.94855;0.3;-168.28456420898436
220;-540.05286;0.3;-162.01585693359374
221;-500.07254;0.3;-150.02176208496093
222;-456.76617;0.3;-137.02985229492188
223;-435.8479;0.3;-130.7543701171875
224;-394.00262;0.3;-118.20078735351562
225;-327.03436;0.3;-98.11030883789063
226;-303.1153;0.3;-90.93458862304688
227;-319.70264;0.3;-95.910791015625
