DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
1;0.7824832398384297;0.7824832398384297;0.7824832398384297;0.7902095759089116;0.7199687367510379;0.7017299164922742;0.6765037399627177;0.7718810544532334;0.7018299891415387;0.6028729065009792;0.4716255085236006;0.5420848567625145;0.556584649605043;0.374444401636028;0.374444401636028;0.5571041851515758;0.5571041851515758
2;0.7829079058794732;0.7829079058794732;0.7829079058794732;0.7903976326207282;0.7205761563143465;0.7024934931392851;0.676665413664481;0.7730748606000577;0.7032770054747515;0.6040918337057061;0.4726703222203387;0.5431646244157499;0.5578163747077509;0.3747582104889799;0.3747582104889799;0.5577105981728838;0.5577105981728838
3;0.7837128358723487;0.7837128358723487;0.7837128358723487;0.7903764058712079;0.7216787645013087;0.7040770548901883;0.6781532059254087;0.7746153892868293;0.7048754799067318;0.6052422552472979;0.4736764558487761;0.544473727950495;0.5590480998104591;0.37507201934193185;0.37507201934193185;0.558317011194192;0.558317011194192
4;0.7853921298688789;0.7853921298688789;0.7853921298688789;0.7917428755486131;0.723952779466085;0.7067109872212739;0.680265227882041;0.7763516700644927;0.7064739543387124;0.6063926767888896;0.47468258947721353;0.5457828314852403;0.5602798249131672;0.37538582819488375;0.37538582819488375;0.5589234242155;0.5589234242155
5;0.7883266647692896;0.7883266647692896;0.7883266647692896;0.7941143960757894;0.7272109761391912;0.7103268196287792;0.6831559907664827;0.7780879508421562;0.7080724287706925;0.6075430983304815;0.4756887231056513;0.5470919350199854;0.5615115500158754;0.37569963704783577;0.37569963704783577;0.5595298372368079;0.5595298372368079
6;0.7929064636882496;0.7929064636882496;0.7929064636882496;0.7981012141085483;0.7319290201577616;0.7156200352540047;0.6866912595505638;0.7798242316198192;0.709670903202673;0.6086935198720734;0.4766948567340885;0.5484010385547307;0.5627432751185835;0.37601344590078767;0.37601344590078767;0.5601362502581161;0.5601362502581161
7;0.8010742696980003;0.8010742696980003;0.8010742696980003;0.8351227301784266;0.7647000889352328;0.7449059625976684;0.7508825001567657;0.794879423215844;0.7284074490757778;0.6256185190005885;0.47993415226212144;0.5659981184084167;0.5809113791825876;0.42980644009578306;0.42980644009578306;0.5871830216190953;0.5871830216190953
8;0.805668405280363;0.805668405280363;0.805668405280363;0.8395268947215293;0.76983920107035;0.7505971972723682;0.7550276992747794;0.7967252555946484;0.7301398409317063;0.6268824919256563;0.48098601923730605;0.5674279861445084;0.582260351285186;0.4304518648086168;0.4304518648086168;0.5879146455828326;0.5879146455828326
9;0.8102625408627259;0.8102625408627259;0.8102625408627259;0.8439310592646322;0.774978313205467;0.7562884319470679;0.7591728983927933;0.7985710879734527;0.731872232787635;0.6281464648507241;0.4820378862124906;0.5688578538806001;0.5836093233877845;0.4310972895214506;0.4310972895214506;0.5886462695465701;0.5886462695465701
10;0.814856676445089;0.814856676445089;0.814856676445089;0.8483352238077344;0.780117425340584;0.7619796666217676;0.7633180975108073;0.800416920352257;0.7336046246435634;0.6294104377757918;0.4830897531876754;0.5702877216166918;0.5849582954903827;0.43174271423428406;0.43174271423428406;0.5893778935103074;0.5893778935103074
