DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
1;11.365168749267095;11.365168749267095;11.365168749267095;11.404188745219981;10.98579259220438;11.012983684518812;10.427880521004992;9.999796668689733;9.210947930574099;9.629314276777382;9.36019279719441;9.430979358977448;9.456497291711626;9.703031301432882;9.703031301432882;10.22131782825717;10.22131782825717
2;11.306547416712137;11.306547416712137;11.306547416712137;11.349692460380865;10.935988423017518;10.961344617731324;10.389622379225344;9.98450224561919;9.20694259012016;9.640551188580568;9.378335832981815;9.45038157278207;9.475542597069731;9.710588754086428;9.710588754086428;10.218354687582838;10.218354687582838
3;11.258502818001311;11.258502818001311;11.258502818001311;11.302767209626461;10.891366383393255;10.914514227197362;10.355236685395681;9.974005102204051;9.202937249666222;9.65266107874964;9.398478628975756;9.471437795701364;9.495952436899472;9.721675201828875;9.721675201828875;10.21773301594729;10.21773301594729
4;11.206183168308996;11.206183168308996;11.206183168308996;11.249412842603123;10.839982485707688;10.861355905033083;10.316515100077462;9.963417281785842;9.198931909212282;9.660390063238365;9.413655594243817;9.488230253618093;9.512582641305249;9.73264475654825;9.73264475654825;10.2180632582581;10.2180632582581
5;11.139843825455742;11.139843825455742;11.139843825455742;11.182105033396468;10.776017650778607;10.79699308021501;10.26927195706333;9.949180297227901;9.194926568758346;9.669997632065426;9.42946469671932;9.505643023290865;9.530016987141918;9.744865066126499;9.744865066126499;10.219441580181087;10.219441580181087
6;11.062333026410949;11.062333026410949;11.062333026410949;11.10352085662406;10.701283604975368;10.722139641554811;10.214733431463708;9.933144434330629;9.190921228304406;9.683872212423607;9.448710121218358;9.525500911431843;9.549407870636436;9.756660270364245;9.756660270364245;10.218874146386872;10.218874146386872
7;10.948636108412357;10.948636108412357;10.948636108412357;10.905999327046798;10.64130417313686;10.722812199130086;10.316807464552515;10.046605242035692;9.917890520694261;9.850064681237624;9.53777997134918;9.454445356578193;9.420863396437962;9.773928362172448;9.773928362172448;10.342869650532226;10.342869650532226
8;10.867820156745738;10.867820156745738;10.867820156745738;10.821599930905158;10.561992487707377;10.643690530574077;10.259455401091122;10.029102577814278;9.91388518024032;9.86448137652353;9.557014709712696;9.472549441523688;9.438006994235355;9.785492297653583;9.785492297653583;10.343102870573809;10.343102870573809
9;10.787004205079118;10.787004205079118;10.787004205079118;10.737200534763518;10.4826808022779;10.564568862018067;10.20210333762973;10.011599913592864;9.909879839786383;9.878898071809443;9.576249448076211;9.490653526469183;9.45515059203275;9.797056233134724;9.797056233134724;10.34333609061539;10.34333609061539
10;10.706188253412499;10.706188253412499;10.706188253412499;10.652801138621875;10.403369116848417;10.48544719346206;10.14475127416834;9.994097249371448;9.905874499332443;9.893314767095355;9.595484186439728;9.508757611414675;9.472294189830144;9.808620168615862;9.808620168615862;10.34356931065697;10.34356931065697
11;10.625372301745879;10.625372301745879;10.625372301745879;10.568401742480239;10.32405743141894;10.406325524906054;10.087399210706948;9.976594585150032;9.901869158878505;9.907731462381262;9.614718924803247;9.526861696360173;9.489437787627537;9.820184104096999;9.820184104096999;10.343802530698554;10.343802530698554
12;10.54455635007926;10.54455635007926;10.54455635007926;10.484002346338597;10.24474574598946;10.327203856350046;10.030047147245556;9.959091920928616;9.897863818424566;9.922148157667172;9.633953663166762;9.544965781305669;9.50658138542493;9.831748039578136;9.831748039578136;10.344035750740137;10.344035750740137
13;10.463740398412641;10.463740398412641;10.463740398412641;10.399602950196957;10.165434060559981;10.248082187794038;9.972695083784163;9.941589256707204;9.893858477970628;9.936564852953085;9.653188401530276;9.563069866251164;9.523724983222325;9.843311975059276;9.843311975059276;10.344268970781718;10.344268970781718
14;10.38292444674602;10.38292444674602;10.38292444674602;10.315203554055318;10.0861223751305;10.16896051923803;9.915343020322775;9.924086592485788;9.889853137516688;9.950981548238993;9.672423139893795;9.581173951196659;9.540868581019721;9.854875910540414;9.854875910540414;10.344502190823304;10.344502190823304
15;10.3021084950794;10.3021084950794;10.3021084950794;10.23080415791368;10.006810689701021;10.089838850682023;9.85799095686138;9.90658392826437;9.88584779706275;9.965398243524902;9.69165787825731;9.599278036142154;9.55801217881711;9.866439846021551;9.866439846021551;10.344735410864887;10.344735410864887
16;10.22129254341278;10.22129254341278;10.22129254341278;10.146404761772038;9.927499004271544;10.010717182126013;9.800638893399988;9.889081264042959;9.88184245660881;9.979814938810811;9.710892616620827;9.61738212108765;9.575155776614507;9.878003781502688;9.878003781502688;10.344968630906466;10.344968630906466
17;10.140476591746163;10.140476591746163;10.140476591746163;10.062005365630398;9.84818731884206;9.931595513570006;9.743286829938596;9.871578599821541;9.877837116154872;9.994231634096723;9.730127354984345;9.635486206033146;9.592299374411898;9.889567716983825;9.889567716983825;10.345201850948047;10.345201850948047
18;10.05966064007954;10.05966064007954;10.05966064007954;9.97760596948876;9.768875633412584;9.852473845014;9.685934766477207;9.854075935600127;9.873831775700934;10.00864832938263;9.749362093347862;9.65359029097864;9.609442972209292;9.901131652464962;9.901131652464962;10.34543507098963;10.34543507098963
19;9.978844688412924;9.978844688412924;9.978844688412924;9.893206573347122;9.689563947983103;9.773352176457989;9.628582703015814;9.836573271378711;9.869826435246996;10.023065024668544;9.76859683171138;9.671694375924137;9.626586570006687;9.912695587946102;9.912695587946102;10.345668291031215;10.345668291031215
20;9.898028736746305;9.898028736746305;9.898028736746305;9.80880717720548;9.610252262553622;9.694230507901985;9.571230639554422;9.819070607157299;9.865821094793057;10.037481719954453;9.787831570074893;9.689798460869632;9.64373016780408;9.92425952342724;9.92425952342724;10.345901511072796;10.345901511072796
21;9.801018810794725;9.801018810794725;9.801018810794725;9.705947014576482;9.51397099705735;9.599781520217247;9.505606796633048;9.804416776694561;9.86181575433912;10.055980799412069;9.809258912261676;9.709098327598776;9.662167341157614;9.938107112106032;9.938107112106032;10.347254301199467;10.347254301199467
22;9.704008884843146;9.704008884843146;9.704008884843146;9.603086851947488;9.417689731561072;9.505332532532506;9.439982953711677;9.789762946231827;9.85781041388518;10.074479878869687;9.830686254448455;9.728398194327925;9.680604514511153;9.951954700784823;9.951954700784823;10.348607091326137;10.348607091326137
23;9.606998958891566;9.606998958891566;9.606998958891566;9.500226689318493;9.321408466064797;9.410883544847765;9.374359110790305;9.775109115769094;9.85380507343124;10.092978958327306;9.852113596635236;9.747698061057068;9.69904168786469;9.965802289463618;9.965802289463618;10.349959881452808;10.349959881452808
24;9.50998903293999;9.50998903293999;9.50998903293999;9.397366526689497;9.225127200568519;9.316434557163026;9.308735267868933;9.760455285306358;9.849799732977303;10.111478037784922;9.873540938822016;9.766997927786216;9.717478861218224;9.979649878142409;9.979649878142409;10.351312671579475;10.351312671579475
25;9.412979106988411;9.412979106988411;9.412979106988411;9.294506364060503;9.128845935072244;9.221985569478285;9.243111424947559;9.745801454843622;9.845794392523365;10.129977117242538;9.894968281008799;9.786297794515361;9.735916034571762;9.993497466821198;9.993497466821198;10.352665461706147;10.352665461706147
26;9.315969181036833;9.315969181036833;9.315969181036833;9.191646201431507;9.032564669575969;9.127536581793548;9.177487582026183;9.731147624380887;9.841789052069428;10.148476196700154;9.916395623195578;9.805597661244507;9.754353207925298;10.00734505549999;10.00734505549999;10.354018251832812;10.354018251832812
27;9.218959255085256;9.218959255085256;9.218959255085256;9.088786038802512;8.936283404079692;9.033087594108808;9.111863739104814;9.716493793918154;9.837783711615486;10.16697527615777;9.93782296538236;9.824897527973652;9.772790381278838;10.021192644178784;10.021192644178784;10.355371041959486;10.355371041959486
28;9.121949329133674;9.121949329133674;9.121949329133674;8.985925876173514;8.840002138583413;8.938638606424071;9.04623989618344;9.701839963455416;9.833778371161548;10.185474355615389;9.959250307569137;9.844197394702796;9.791227554632373;10.035040232857574;10.035040232857574;10.356723832086153;10.356723832086153
