DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
1;307.4556377667798;307.4556377667798;307.4556377667798;296.4453537476167;291.0328992175863;285.4438275466691;273.9697318574581;259.2192007291836;249.06134827604473;238.9734013170168;232.59805007322484;227.28215110553;225.60764292493815;220.54313205554928;220.54313205554928;215.87973270722975;215.87973270722975
2;308.3169898787949;308.3169898787949;308.3169898787949;297.2427539938369;291.7763602936208;286.12716184285887;274.457032135108;259.41638756367536;249.14106583221925;238.95437542756534;232.60827963647523;227.3259183575574;225.6623068896228;220.64502531861822;220.64502531861822;216.01299338341545;216.01299338341545
3;309.1539136534258;309.1539136534258;309.1539136534258;298.03964251082857;292.5580125299758;286.8607712913275;275.0126886644458;259.65519953094235;249.24593218666533;238.94997422080363;232.61850246644636;227.35842083327734;225.7029252336397;220.73184950256217;220.73184950256217;216.13144084509034;216.13144084509034
4;309.95563723481285;309.95563723481285;309.95563723481285;298.79599757771615;293.30594980989406;287.5584116321359;275.552479815378;259.91385999563494;249.38579406329026;238.99100674276684;232.66195051428176;227.41137974272723;225.7588016796717;220.80694383016365;220.80694383016365;216.2260509398807;216.2260509398807
5;310.6993994968493;310.6993994968493;310.6993994968493;299.48953843312654;294.0295738240547;288.2434927107863;276.1024782194405;260.1499070950919;249.4603331414991;238.98126094034748;232.69330606728877;227.45708131453435;225.8027253232825;220.88904754305048;220.88904754305048;216.35123129457838;216.35123129457838
6;311.45520429348556;311.45520429348556;311.45520429348556;300.17131284120677;294.7461314084531;288.9464883311549;276.7000140268812;260.47058123282505;249.6177186196991;239.0469066671767;232.80325164404047;227.57218374966484;225.9055128434684;221.03073925916166;221.03073925916166;216.56093324538196;216.56093324538196
7;312.5856812807854;312.5856812807854;312.5856812807854;307.670118487891;301.00932394707195;294.42318049477456;280.8009875540638;263.59243970558356;251.8802706478035;239.87718477555163;232.9960152762828;228.155690102286;226.69451765291114;221.6892796559671;221.6892796559671;217.355198614194;217.355198614194
8;313.3087035274723;313.3087035274723;313.3087035274723;308.42182809633834;301.7875686943974;295.182115916069;281.4427458982063;263.9453081223045;252.0576063750126;239.94377439905477;233.10168565197782;228.272315375377;226.80049369674177;221.836670086447;221.836670086447;217.57702883548856;217.57702883548856
9;314.0317257741592;314.0317257741592;314.0317257741592;309.173537704786;302.56581344172304;295.94105133736343;282.0845042423488;264.2981765390255;252.23494210222168;240.01036402255812;233.20735602767272;228.38894064846792;226.90646974057228;221.9840605169269;221.9840605169269;217.79885905678321;217.79885905678321
10;314.7367313541794;314.7367313541794;314.7367313541794;309.89876397990014;303.3069331890484;296.66038286976914;282.6814531420468;264.6230366224131;252.4277444960974;240.1118119793946;233.3278264033677;228.51408258822556;227.02474578440294;222.15968428074004;222.15968428074004;218.0556726114113;218.0556726114113
11;315.4417369341996;315.4417369341996;315.4417369341996;310.6239902550143;304.048052936374;297.3797144021746;283.278402041745;264.9478967058008;252.62054688997316;240.2132599362312;233.44829677906264;228.63922452798326;227.14302182823351;222.3353080445534;222.3353080445534;218.31248616603924;218.31248616603924
12;316.14674251421985;316.14674251421985;316.14674251421985;311.34921653012856;304.78917268369946;298.0990459345802;283.875350941443;265.2727567891884;252.8133492838488;240.3147078930677;233.56876715475758;228.76436646774076;227.26129787206412;222.51093180836654;222.51093180836654;218.5692997206672;218.5692997206672
13;316.8517480942401;316.8517480942401;316.8517480942401;312.0744428052426;305.5302924310251;298.8183774669857;284.472299841141;265.59761687257605;253.00615167772457;240.41615584990433;233.68923753045254;228.88950840749843;227.37957391589478;222.6865555721798;222.6865555721798;218.8261132752952;218.8261132752952
14;317.5567536742602;317.5567536742602;317.5567536742602;312.79966908035686;306.27141217835054;299.5377089993912;285.0692487408391;265.9224769559637;253.1989540716003;240.51760380674088;233.80970790614757;229.01465034725615;227.49784995972533;222.86217933599298;222.86217933599298;219.08292682992322;219.08292682992322
15;318.26175925428043;318.26175925428043;318.26175925428043;313.52489535547096;307.01253192567606;300.257040531797;285.6661976405371;266.24733703935135;253.39175646547602;240.61905176357735;233.9301782818426;229.1397922870137;227.61612600355593;223.0378030998063;223.0378030998063;219.33974038455116;219.33974038455116
16;318.96676483430065;318.96676483430065;318.96676483430065;314.25012163058517;307.75365167300157;300.97637206420245;286.2631465402352;266.57219712273894;253.58455885935183;240.72049972041398;234.05064865753755;229.2649342267713;227.73440204738654;223.21342686361947;223.21342686361947;219.59655393917913;219.59655393917913
17;319.6717704143209;319.6717704143209;319.6717704143209;314.9753479056992;308.49477142032714;301.6957035966081;286.86009543993333;266.89705720612665;253.77736125322755;240.8219476772505;234.1711190332325;229.39007616652896;227.85267809121714;223.3890506274327;223.3890506274327;219.85336749380713;219.85336749380713
18;320.37677599434113;320.37677599434113;320.37677599434113;315.7005741808135;309.23589116765265;302.4150351290137;287.4570443396314;267.22191728951424;253.97016364710328;240.92339563408711;234.29158940892748;229.51521810628657;227.9709541350477;223.5646743912459;223.5646743912459;220.11018104843512;220.11018104843512
19;321.0817815743613;321.0817815743613;321.0817815743613;316.42580045592763;309.97701091497817;303.13436666141916;288.0539932393294;267.5467773729019;254.16296604097906;241.0248435909237;234.41205978462247;229.6403600460442;228.08923017887835;223.74029815505912;223.74029815505912;220.36699460306315;220.36699460306315
20;321.78678715438156;321.78678715438156;321.78678715438156;317.1510267310418;310.71813066230374;303.8536981938248;288.6509421390274;267.87163745628953;254.35576843485475;241.12629154776025;234.5325301603175;229.7655019858019;228.207506222709;223.91592191887233;223.91592191887233;220.62380815769117;220.62380815769117
21;322.5585737065663;322.5585737065663;322.5585737065663;317.9487844560935;311.54479141503003;304.65214646906367;289.29205007487;268.1580409547166;254.51688599283517;241.21527236708118;234.64935616542664;229.89269070578382;228.331028465127;224.09308818372426;224.09308818372426;220.8942669138147;220.8942669138147
22;323.33036025875106;323.33036025875106;323.33036025875106;318.7465421811455;312.37145216775656;305.45059474430263;289.93315801071276;268.4444444531437;254.67800355081562;241.30425318640218;234.76618217053584;230.0198794257658;228.45455070754505;224.27025444857608;224.27025444857608;221.16472566993835;221.16472566993835
23;324.1021468109358;324.1021468109358;324.1021468109358;319.54429990619735;313.19811292048297;306.24904301954166;290.5742659465554;268.7308479515709;254.83912110879604;241.3932340057232;234.88300817564496;230.14706814574777;228.57807294996303;224.44742071342796;224.44742071342796;221.435184426062;221.435184426062
24;324.87393336312044;324.87393336312044;324.87393336312044;320.34205763124913;314.02477367320944;307.0474912947806;291.21537388239796;269.01725144999796;255.00023866677654;241.48221482504417;234.99983418075416;230.27425686572977;228.70159519238115;224.62458697827978;224.62458697827978;221.70564318218558;221.70564318218558
25;325.6457199153052;325.6457199153052;325.6457199153052;321.13981535630097;314.85143442593585;307.84593957001954;291.85648181824064;269.3036549484251;255.16135622475693;241.57119564436516;235.1166601858633;230.4014455857118;228.82511743479924;224.80175324313166;224.80175324313166;221.97610193830926;221.97610193830926
26;326.41750646749;326.41750646749;326.41750646749;321.9375730813528;315.67809517866226;308.64438784525856;292.49758975408326;269.5900584468522;255.32247378273732;241.6601764636861;235.2334861909726;230.5286343056937;228.94863967721724;224.97891950798348;224.97891950798348;222.24656069443287;222.24656069443287
27;327.1892930196748;327.1892930196748;327.1892930196748;322.73533080640465;316.50475593138873;309.4428361204975;293.13869768992595;269.8764619452793;255.4835913407178;241.74915728300704;235.35031219608172;230.65582302567572;229.07216191963536;225.15608577283538;225.15608577283538;222.51701945055646;222.51701945055646
28;327.96107957185944;327.96107957185944;327.96107957185944;323.5330885314565;317.33141668411514;310.24128439573644;293.7798056257686;270.1628654437064;255.64470889869824;241.83813810232806;235.46713820119092;230.78301174565775;229.1956841620534;225.3332520376873;225.3332520376873;222.7874782066801;222.7874782066801
29;328.73286612404416;328.73286612404416;328.73286612404416;324.3308462565083;318.1580774368416;311.0397326709754;294.42091356161114;270.4492689421335;255.80582645667863;241.92711892164905;235.58396420630004;230.9102004656397;229.31920640447152;225.51041830253908;225.51041830253908;223.05793696280378;223.05793696280378
30;329.5046526762289;329.5046526762289;329.5046526762289;325.1286039815602;318.98473818956796;311.83818094621444;295.06202149745394;270.7356724405606;255.96694401465905;242.01609974097002;235.7007902114093;231.03738918562158;229.44272864688946;225.68758456739096;225.68758456739096;223.3283957189274;223.3283957189274
31;330.2764392284136;330.2764392284136;330.2764392284136;325.926361706612;319.8113989422945;312.6366292214534;295.7031294332965;271.02207593898777;256.12806157263947;242.10508056029101;235.81761621651847;231.1645779056037;229.56625088930753;225.86475083224286;225.86475083224286;223.59885447505104;223.59885447505104
