DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
1;28.742033324088286;28.742033324088286;28.742033324088286;29.21327920456662;29.746570537055355;30.223351827655996;31.12274788463472;32.18620024124847;33.16122348269577;33.500510766282616;33.94095106467683;34.207891056532134;34.348948160229845;34.48152763815754;34.525909731893215;34.58207575389909;34.592611122046364
2;28.70206602904298;28.70206602904298;28.70206602904298;29.177453090947537;29.71268667004623;30.193918040736616;31.101922129551667;32.179781796659675;33.17088640531708;33.51020842028695;33.94708665570999;34.212012965829274;34.35265938874738;34.484941252317164;34.52889920230009;34.58462627439877;34.59492370029043
3;28.65762898481132;28.65762898481132;28.65762898481132;29.13723095594844;29.67431767778322;30.15959062577506;31.075703314921267;32.167906718969206;33.178968860675674;33.518285904897226;33.952122519007894;34.21537380651698;34.355771492784584;34.488071310481736;34.53163451578199;34.58700289748528;34.597065600198604
4;28.612752499585874;28.612752499585874;28.612752499585874;29.09790981255881;29.637175693256946;30.126415602662693;31.050043099687908;32.154420477499734;33.18508068292976;33.52491068709931;33.95636486590609;34.21831567586328;34.35851292013004;34.49091429225969;34.534072373668394;34.58912708513537;34.59895229688133
5;28.56566504829459;28.56566504829459;28.56566504829459;29.05644083078762;29.597048024895898;30.08916339254985;31.018947916720386;32.13548202842729;33.18660943688342;33.5305749080557;33.96057229321144;34.22120979483665;34.36114248161896;34.49377145176834;34.536532636630454;34.59145597980787;34.60100305562325
6;28.508723255405396;28.508723255405396;28.508723255405396;29.005494396527713;29.548397578957076;30.04371697521252;30.980632544338228;32.11087784924784;33.18813819083707;33.53357838015254;33.96270353789745;34.22274104344905;34.362708288139416;34.49659875776672;34.538963046082266;34.59398304534104;34.603251985225825
7;28.167183606580444;28.167183606580444;28.167183606580444;28.549113199954366;29.05902797422942;29.54343958869017;30.472501250301466;31.655019458184313;32.82438514765807;33.246908677496656;33.796719712419076;34.14072874324524;34.30431298127869;34.4407419900904;34.49028608797653;34.5627005648342;34.578694380103244
8;28.10467507881364;28.10467507881364;28.10467507881364;28.49187132378346;29.003761307414457;29.491291906500862;30.427466005489272;31.62440429645992;32.82140317701624;33.246414434904494;33.796888206436265;34.14133804232597;34.305211692628596;34.4429240029817;34.49216109162614;34.564915783013106;34.580729824356354
9;28.042166551046833;28.042166551046833;28.042166551046833;28.43462944761257;28.948494640599495;29.439144224311562;30.38243076067708;31.593789134735548;32.81842120637439;33.24592019231235;33.797056700453446;34.141947341406706;34.30611040397849;34.445106015872994;34.49403609527576;34.567131001191996;34.582765268609464
10;27.976462650433938;27.976462650433938;27.976462650433938;28.37440294577323;28.892491565584876;29.38744056569129;30.33997949289004;31.566785046986205;32.81543923573255;33.246960857622746;33.79821440644331;34.14325130774829;34.307220976588034;34.44728984843155;34.495912918592644;34.56936616143862;34.584820654930304
