DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
1;3.6225721875194123;3.6225721875194123;3.6225721875194123;3.6479254979547595;4.0268096223202425;4.429997239761397;5.175799771567613;6.091495675029086;6.696218371358409;7.141087960667948;7.482363869139067;7.62248190705157;7.668921296727663;7.658289596145071;7.739120166071132;7.701357299156024;7.684717511636491
2;3.6188403897911514;3.6188403897911514;3.6188403897911514;3.640995356631003;4.016873794784581;4.418726627438855;5.162322970936546;6.078273863432146;6.691252821771633;7.126958605369707;7.464705383535528;7.603794512627757;7.651391822743862;7.645297554406811;7.727561986610377;7.695101823333756;7.678814555650708
3;3.620270813674091;3.620270813674091;3.620270813674091;3.638266064700138;4.009186014864139;4.408220121737982;5.147357955283676;6.062758925507291;6.684735645161778;7.113012250271573;7.4476580339146405;7.585911541667969;7.634767023109135;7.632301970824848;7.716070806788893;7.688431916078745;7.672507643925194
4;3.6303906022731685;3.6303906022731685;3.6303906022731685;3.6433044746326275;4.00907076954106;4.4045300447901505;5.137231412624884;6.047899332466383;6.677788088253348;7.099433057644834;7.432101372971972;7.5701166659462755;7.6201920000898555;7.620731477141548;7.706065608224897;7.682408745229966;7.666873762601773
5;3.6500570094276314;3.6500570094276314;3.6500570094276314;3.657503881615466;4.017287084392783;4.40779679608985;5.132344762816659;6.036927046779317;6.673516016594777;7.087993340505919;7.417988640689035;7.555272261485191;7.605978162229877;7.6085670849187945;7.695168812497081;7.674270038134276;7.659167681032605
6;3.6765650371084404;3.6765650371084404;3.6765650371084404;3.676451629261266;4.029353964103972;4.413233224681713;5.126963975513288;6.022489857224139;6.6692439449362055;7.073739621156544;7.401445435083814;7.538451365629788;7.590045697396589;7.5954229972772;7.6832923213504225;7.6645880078219975;7.649918276246855
7;3.7682520526267784;3.7682520526267784;3.7682520526267784;3.681289329850778;4.0066752010158515;4.363429595168106;5.043797742283922;5.9383876933869715;6.631135651843144;7.064234564086422;7.4406115891759645;7.651587837528178;7.722284718783948;7.669391931368213;7.666570115588644;7.580895262034545;7.559084970087028
8;3.799054689557543;3.799054689557543;3.799054689557543;3.70359322795899;4.021497241563913;4.371025861252162;5.039666329759599;5.924584019973091;6.628063740008357;7.050979666821993;7.425483180528773;7.636905597531827;7.708414752183032;7.6573875966606755;7.654436612570856;7.5700193223952645;7.548511096549858
9;3.829857326488307;3.829857326488307;3.829857326488307;3.7258971260672045;4.0363192821119735;4.378622127336218;5.0355349172352755;5.910780346559206;6.624991828173567;7.037724769557562;7.410354771881577;7.622223357535475;7.694544785582116;7.645383261953139;7.642303109553068;7.5591433827559795;7.5379372230126895
10;3.8618800688854993;3.8618800688854993;3.8618800688854993;3.749438026552127;4.053070726997529;4.388535560185971;5.034441606315231;5.900244647001532;6.62191991633878;7.025414985186779;7.3958257393484645;7.607195195079231;7.679447100621129;7.632862364559923;7.629653043849598;7.548312006396556;7.527407912755379
11;3.8939028112826928;3.8939028112826928;3.8939028112826928;3.7729789270370486;4.069822171883083;4.3984489930357205;5.033348295395186;5.889708947443859;6.6188480045039935;7.013105200815992;7.381296706815351;7.592167032622987;7.6643494156601415;7.620341467166705;7.617002978146126;7.537480630037132;7.516878602498068
12;3.9259255536798863;3.9259255536798863;3.9259255536798863;3.7965198275219696;4.086573616768638;4.408362425885473;5.0322549844751405;5.879173247886183;6.615776092669204;7.0007954164452055;7.366767674282243;7.57713887016674;7.649251730699152;7.607820569773489;7.604352912442658;7.526649253677709;7.506349292240756
13;3.9579482960770775;3.9579482960770775;3.9579482960770775;3.820060728006892;4.103325061654192;4.418275858735225;5.031161673555098;5.868637548328511;6.612704180834416;6.98848563207442;7.352238641749128;7.562110707710494;7.634154045738168;7.595299672380273;7.591702846739192;7.515817877318281;7.495819981983445
14;3.9899710384742715;3.9899710384742715;3.9899710384742715;3.843601628491814;4.120076506539747;4.428189291584977;5.03006836263505;5.858101848770837;6.609632268999627;6.976175847703633;7.337709609216017;7.54708254525425;7.619056360777182;7.582778774987057;7.5790527810357196;7.504986500958859;7.485290671726134
15;4.021993780871465;4.021993780871465;4.021993780871465;3.8671425289767356;4.136827951425302;4.438102724434729;5.028975051715006;5.847566149213164;6.606560357164841;6.963866063332848;7.323180576682907;7.532054382798006;7.6039586758161954;7.570257877593838;7.56640271533225;7.494155124599436;7.4747613614688255
16;4.0540165232686585;4.0540165232686585;4.0540165232686585;3.8906834294616575;4.153579396310854;4.448016157284481;5.027881740794961;5.8370304496554875;6.603488445330052;6.95155627896206;7.308651544149793;7.5170262203417595;7.588860990855209;7.557736980200624;7.553752649628782;7.483323748240011;7.464232051211513
17;4.08603926566585;4.08603926566585;4.08603926566585;3.9142243299465793;4.17033084119641;4.457929590134232;5.026788429874916;5.8264947500978135;6.600416533495263;6.939246494591274;7.294122511616679;7.501998057885516;7.573763305894219;7.545216082807405;7.541102583925314;7.472492371880588;7.4537027409542045
18;4.118062008063043;4.118062008063043;4.118062008063043;3.9377652304315003;4.187082286081964;4.467843022983986;5.025695118954871;5.81595905054014;6.5973446216604765;6.926936710220489;7.2795934790835695;7.486969895429274;7.558665620933232;7.532695185414189;7.528452518221843;7.461660995521163;7.443173430696893
19;4.150084750460237;4.150084750460237;4.150084750460237;3.9613061309164213;4.203833730967519;4.477756455833737;5.024601808034825;5.805423350982466;6.594272709825688;6.914626925849702;7.265064446550454;7.471941732973027;7.543567935972243;7.520174288020974;7.5158024525183755;7.4508296191617385;7.43264412043958
20;4.182107492857429;4.182107492857429;4.182107492857429;3.9848470314013436;4.220585175853073;4.487669888683488;5.023508497114782;5.794887651424791;6.5912007979909;6.9023171414789175;7.250535414017346;7.456913570516783;7.5284702510112576;7.507653390627755;7.503152386814906;7.439998242802313;7.42211481018227
21;4.217566561122357;4.217566561122357;4.217566561122357;4.011540806078961;4.239939128575617;4.499807271880082;5.023673504105878;5.785246502798114;6.587738882899182;6.889041050502396;7.234799926825473;7.4414376807878115;7.513090068033125;7.494674161474899;7.490061020170997;7.428455275250536;7.410856869415463
22;4.2530256293872855;4.2530256293872855;4.2530256293872855;4.03823458075658;4.259293081298163;4.511944655076676;5.023838511096976;5.775605354171438;6.584276967807463;6.875764959525878;7.219064439633599;7.425961791058838;7.497709885054988;7.481694932322042;7.476969653527089;7.416912307698755;7.399598928648651
23;4.288484697652212;4.288484697652212;4.288484697652212;4.064928355434195;4.278647034020708;4.52408203827327;5.024003518088074;5.76596420554476;6.580815052715741;6.862488868549357;7.203328952441725;7.410485901329866;7.482329702076854;7.468715703169184;7.463878286883183;7.405369340146976;7.388340987881843
